,,26,0S,,50.0W,,UA_ID:,999,99  SF,_ID:,66666,OS_ID:,,VER,SION: 2,1112,CCVR_S,ub TEMP_,Sub,,,,,,,
23,1,1,1,1,-42,0.48,-9,-9,-999,799,237.7,0.6185,0.36,1,4.1,1,14,298.1,2,0,0,83,1010,6,NAD-SFC,NoSubs
23,1,1,1,2,-36.2,0.415,-9,-9,-999,644,177,0.3978,0.36,1,4.1,358,14,298.1,2,0,0,83,1010,6,NAD-SFC,NoSubs
23,1,1,1,3,-41.7,0.477,-9,-9,-999,789,234,0.3978,0.36,1,4.6,354,14,298.1,2,0,0,83,1010,6,NAD-SFC,NoSubs
23,1,1,1,4,-47,0.537,-9,-9,-999,944,297.4,0.3978,0.36,1,5.1,343,14,298.1,2,0,0,83,1010,6,NAD-SFC,NoSubs
23,1,1,1,5,-16.9,0.193,-9,-9,-999,374,38.5,0.3978,0.36,1,2.6,333,14,298.1,2,0,0,89,1010,6,NAD-SFC,NoSubs
23,1,1,1,6,-34.6,0.339,-9,-9,-999,473,101,0.3978,0.36,1,3.6,332,14,297.1,2,0,0,94,1010,3,NAD-SFC,NoSubs
23,1,1,1,7,9.5,0.413,-9,-9,-999,637,-665.9,0.3978,0.36,0.33,3.6,325,14,297.1,2,0,0,94,1010,2,NAD-SFC,Sub_CC
23,1,1,1,8,49,0.384,-9,-9,-999,573,-104.4,0.3978,0.36,0.19,3.1,323,14,297.1,2,0,0,94,1010,1,NAD-SFC,NoSubs
23,1,1,1,9,86.8,0.349,-9,-9,-999,496,-44.2,0.3978,0.36,0.16,2.6,337,14,297.1,2,0,0,94,1010,1,NAD-SFC,NoSubs
23,1,1,1,10,118.3,0.516,-9,-9,-999,888,-104.3,0.6185,0.36,0.15,3.6,11,14,298.1,2,0,0,89,1010,1,NAD-SFC,NoSubs
23,1,1,1,11,127.5,0.518,-9,-9,-999,895,-98.2,0.6185,0.36,0.14,3.6,14,14,299.1,2,0,0,79,1010,6,NAD-SFC,NoSubs
23,1,1,1,12,139.9,0.515,-9,-9,-999,887,-87.9,0.3978,0.36,0.14,4.1,346,14,300.1,2,0,0,74,1010,6,NAD-SFC,NoSubs
23,1,1,1,13,159.6,0.519,-9,-9,-999,898,-79.1,0.3978,0.36,0.14,4.1,353,14,301.1,2,0,0,70,1010,3,NAD-SFC,NoSubs
23,1,1,1,14,154.6,0.518,-9,-9,-999,896,-81.1,0.3978,0.36,0.14,4.1,359,14,301.1,2,0,0,66,1010,3,NAD-SFC,NoSubs
23,1,1,1,15,138.9,0.617,-9,-9,-999,1163,-152.7,0.3978,0.36,0.14,5.1,352,14,303.1,2,0,0,62,1010,1,NAD-SFC,NoSubs
23,1,1,1,16,113.9,0.635,-9,-9,-999,1215,-202.9,0.3146,0.36,0.15,5.7,54,14,303.1,2,0,0,66,1010,1,NAD-SFC,NoSubs
23,1,1,1,17,80.7,0.677,-9,-9,-999,1335,-346.5,0.3146,0.36,0.16,6.2,61,14,302.1,2,0,0,66,1010,1,NAD-SFC,NoSubs
23,1,1,1,18,43.6,0.549,-9,-9,-999,994,-341.6,0.6185,0.36,0.21,4.1,37,14,302.1,2,0,0,70,1010,3,NAD-SFC,NoSubs
23,1,1,1,19,4.2,0.54,-9,-9,-999,953,-3371.4,0.3146,0.36,0.39,5.1,74,14,302.1,2,0,0,70,1010,3,NAD-SFC,NoSubs
