day,month,year,hour,ct,wd,ws,hc,ccp,cco,p,temp,dpTemp,vis,pw,relh
1,1,2023,0,,360,5.14444,2133.6,3,3,1009.658428,25,22,,0,83.44
1,1,2023,1,,360,4.115552,3048,6,6,1009.654835,25,22,,0,83.44
1,1,2023,2,,360,4.115552,3048,6,6,1009.654835,25,22,,0,83.44
1,1,2023,3,,350,4.629996,3048,6,6,1009.654835,25,22,,0,83.44
1,1,2023,4,,340,5.14444,1219.2,6,6,1009.658428,25,22,,0,83.44
1,1,2023,5,,330,2.57222,1402.08,6,6,1009.658428,25,23,,0,88.67
1,1,2023,6,,330,3.601108,1524,3,3,1009.662022,24,23,,0,94.14
1,1,2023,7,,320,3.601108,,,,1009.662022,24,23,,0,94.14
1,1,2023,8,,320,3.086664,518.16,1,1,1009.662022,24,23,,0,94.14
1,1,2023,9,,340,2.57222,518.16,1,1,1009.658428,24,23,,0,94.14
1,1,2023,10,,10,3.601108,518.16,1,1,1009.658428,25,23,,0,88.67
1,1,2023,11,,10,3.601108,609.6,6,6,1009.654835,26,22,,0,78.62
1,1,2023,12,,350,4.115552,3048,6,6,1009.654835,27,22,,0,74.11
1,1,2023,13,,350,4.115552,762,3,3,1009.654835,28,22,,0,69.9
1,1,2023,14,,360,4.115552,914.4,3,3,1009.654835,28,21,,0,65.74
1,1,2023,15,,350,5.14444,914.4,1,1,1009.658428,30,22,,0,62.25
1,1,2023,16,,50,5.658884,914.4,1,1,1009.658428,30,23,,0,66.15
1,1,2023,17,,60,6.173328,1066.8,1,1,1009.662022,29,22,,0,65.95
1,1,2023,18,,40,4.115552,1219.2,3,1,1009.662022,29,23,,0,70.08
1,1,2023,19,,70,5.14444,1066.8,3,3,1009.665616,29,23,,0,70.08
1,1,2023,20,,80,5.658884,914.4,3,3,1009.665616,27,23,,0,78.76
1,1,2023,21,,70,4.629996,1219.2,3,3,1009.665616,27,22,,0,74.11
1,1,2023,22,,60,4.115552,1371.6,3,3,1009.662022,26,23,,0,83.55
1,1,2023,23,,10,2.57222,1219.2,6,6,1009.662022,26,23,,0,83.55
2,1,2023,0,,30,3.086664,1219.2,6,6,1009.662022,26,23,,0,83.55
2,1,2023,1,,20,3.086664,914.4,6,6,1009.658428,26,23,,0,83.55
2,1,2023,2,,20,4.115552,518.16,6,6,1009.658428,26,23,,0,83.55
2,1,2023,3,,360,4.115552,457.2,6,6,1009.658428,26,24,,0,88.75
2,1,2023,4,,360,4.629996,457.2,6,6,1009.662022,26,23,,0,83.55
2,1,2023,5,,10,5.14444,609.6,6,6,1009.665616,26,23,,0,83.55
2,1,2023,6,,360,4.629996,609.6,6,6,1009.669209,25,24,,0,94.19
2,1,2023,7,,250,5.14444,609.6,6,6,1009.669209,25,23,,0,88.67
2,1,2023,8,,330,3.601108,457.2,6,6,1009.669209,25,24,,0,94.19
2,1,2023,9,,330,4.629996,457.2,3,3,1009.669209,25,24,,0,94.19
2,1,2023,10,,310,5.14444,609.6,3,3,1009.665616,25,24,,0,94.19
2,1,2023,11,,340,6.173328,609.6,1,1,1009.665616,27,23,,0,78.76
2,1,2023,12,,350,6.687772,914.4,3,3,1009.669209,27,23,,0,78.76
2,1,2023,13,,350,6.687772,914.4,3,3,1009.671605,28,22,,0,69.9
2,1,2023,14,,360,6.687772,914.4,1,1,1009.671605,29,23,,0,70.08
2,1,2023,15,,360,6.687772,914.4,1,1,1009.675199,30,22,,0,62.25
2,1,2023,16,,10,8.231104,914.4,1,1,1009.678792,29,23,,0,70.08
2,1,2023,17,,10,8.231104,914.4,1,1,1009.682386,28,23,,0,74.28
2,1,2023,18,,20,8.231104,914.4,1,1,1009.68598,29,23,,0,70.08
2,1,2023,19,,360,7.71666,914.4,1,1,1009.68598,29,23,,0,70.08
2,1,2023,20,,20,7.71666,914.4,1,1,1009.689573,28,23,,0,74.28
2,1,2023,21,,10,7.202216,914.4,3,3,1009.689573,28,23,,0,74.28
2,1,2023,22,,10,4.115552,914.4,3,3,1009.68598,26,23,,0,83.55
2,1,2023,23,,360,6.687772,914.4,3,3,1009.68598,26,23,,0,83.55
3,1,2023,0,,360,7.202216,609.6,6,6,1009.682386,26,23,,0,83.55
3,1,2023,1,,360,6.687772,609.6,6,6,1009.682386,26,24,,0,88.75
3,1,2023,2,,360,6.173328,822.96,6,6,1009.682386,26,24,,0,88.75
3,1,2023,3,,350,5.658884,853.44,6,6,1009.68598,26,24,,0,88.75
3,1,2023,4,,340,5.658884,914.4,6,6,1009.68598,26,24,,0,88.75
3,1,2023,5,,340,5.658884,853.44,6,6,1009.689573,26,24,,0,88.75
3,1,2023,6,,340,4.629996,914.4,3,3,1009.693167,26,24,,0,88.75
3,1,2023,7,,340,4.115552,609.6,1,1,1009.693167,26,23,,0,83.55
3,1,2023,8,,320,4.115552,609.6,1,1,1009.693167,26,23,,0,83.55
3,1,2023,9,,320,3.086664,609.6,1,1,1009.689573,26,24,,0,88.75
3,1,2023,10,,360,3.601108,609.6,1,1,1009.68598,26,24,,0,88.75
3,1,2023,11,,300,1.543332,609.6,1,1,1009.68598,27,24,,0,83.66
3,1,2023,12,,200,1.543332,609.6,1,1,1009.682386,27,24,,0,83.66
3,1,2023,13,,150,5.658884,609.6,3,3,1009.682386,29,23,,0,70.08
3,1,2023,14,,140,8.231104,609.6,3,3,1009.682386,28,23,,0,74.28
3,1,2023,15,,190,7.71666,609.6,3,3,1009.682386,26,22,,0,78.62
3,1,2023,16,,110,4.629996,914.4,6,6,1009.682386,25,23,,0,88.67
3,1,2023,17,,140,7.202216,609.6,6,6,1009.682386,26,20,,0,69.52
3,1,2023,18,,150,8.231104,1066.8,3,3,1009.68598,26,16,,0,54.05
3,1,2023,19,,140,7.71666,1219.2,6,6,1009.68598,25,18,,0,65.12
3,1,2023,20,,150,7.71666,1219.2,3,3,1009.68598,25,17,,0,61.13
3,1,2023,21,,160,4.629996,914.4,6,6,1009.678792,24,19,,0,73.61
3,1,2023,22,,150,4.629996,914.4,6,6,1009.678792,23,20,,0,83.21
3,1,2023,23,,180,4.629996,914.4,6,6,1009.675199,23,21,,0,88.51
4,1,2023,0,,180,4.115552,3048,6,6,1009.671605,22,21,,0,94.06
4,1,2023,1,,190,4.629996,3048,6,6,1009.669209,22,21,,0,94.06
4,1,2023,2,,190,5.658884,3048,6,6,1009.671605,23,20,,0,83.21
4,1,2023,3,,180,4.115552,3048,6,6,1009.675199,23,19,,0,78.19
4,1,2023,4,,190,4.115552,3048,6,6,1009.675199,23,19,,0,78.19
4,1,2023,5,,190,4.629996,3048,6,6,1009.678792,23,18,,0,73.44
4,1,2023,6,,200,4.115552,3048,6,6,1009.678792,22,18,,0,78.04
4,1,2023,7,,210,4.115552,3048,3,3,1009.678792,22,18,,0,78.04
4,1,2023,8,,160,3.086664,3048,3,3,1009.678792,23,16,,0,64.69
4,1,2023,9,,130,2.57222,3048,3,3,1009.675199,23,16,,0,64.69
4,1,2023,10,,200,2.057776,,,,1009.671605,22,17,,0,73.27
4,1,2023,11,,230,3.086664,1066.8,1,1,1009.671605,22,18,,0,78.04
4,1,2023,12,,190,4.115552,3048,6,6,1009.669209,22,17,,0,73.27
4,1,2023,13,,200,5.14444,3048,6,6,1009.669209,23,17,,0,68.94
4,1,2023,14,,210,6.173328,3048,6,6,1009.669209,22,17,,0,73.27
4,1,2023,15,,200,3.601108,1828.8,8,8,1009.669209,21,18,,0,82.98
4,1,2023,16,,180,2.57222,3048,6,6,1009.669209,23,17,,0,68.94
4,1,2023,17,,170,2.57222,1097.28,8,8,1009.669209,23,18,,0,73.44
4,1,2023,18,,170,2.057776,2743.2,6,6,1009.669209,23,17,,0,68.94
4,1,2023,19,,,0.514444,2743.2,6,6,1009.671605,23,17,,0,68.94
4,1,2023,20,,230,1.543332,2438.4,6,6,1009.671605,23,17,,0,68.94
4,1,2023,21,,,0.514444,2438.4,8,8,1009.669209,23,18,,0,73.44
4,1,2023,22,,200,1.543332,2133.6,6,6,1009.669209,22,19,,0,83.09
4,1,2023,23,,220,1.543332,2133.6,3,3,1009.665616,22,19,,0,83.09
5,1,2023,0,,220,1.543332,2133.6,3,3,1009.665616,22,19,,0,83.09
5,1,2023,1,,200,3.601108,1524,6,6,1009.662022,22,19,,0,83.09
5,1,2023,2,,200,3.601108,1219.2,3,3,1009.662022,22,20,,0,88.43
5,1,2023,3,,200,4.115552,762,1,1,1009.662022,21,20,,0,94.01
5,1,2023,4,,220,3.086664,762,1,1,1009.662022,21,19,,0,88.34
5,1,2023,5,,210,3.086664,762,1,1,1009.665616,21,19,,0,88.34
5,1,2023,6,,210,3.601108,,,,1009.665616,21,19,,0,88.34
5,1,2023,7,,220,2.57222,,,,1009.665616,20,18,,0,88.26
5,1,2023,8,,250,1.543332,,,,1009.662022,19,18,,0,93.92
5,1,2023,9,,260,3.086664,,,,1009.662022,19,18,,0,93.92
5,1,2023,10,,270,2.057776,,,,1009.658428,21,18,,0,82.98
5,1,2023,11,,240,3.086664,,,,1009.658428,23,18,,0,73.44
5,1,2023,12,,250,3.601108,,,,1009.658428,24,19,,0,73.61
5,1,2023,13,,130,4.115552,762,3,3,1009.654835,25,17,,0,61.13
5,1,2023,14,,140,4.115552,914.4,1,1,1009.654835,26,19,,0,65.33
5,1,2023,15,,130,4.629996,914.4,1,1,1009.654835,27,18,,0,57.84
5,1,2023,16,,120,5.658884,762,1,1,1009.654835,27,17,,0,54.3
5,1,2023,17,,120,6.687772,914.4,1,1,1009.654835,26,17,,0,57.6
5,1,2023,18,,120,7.202216,914.4,1,1,1009.654835,27,19,,0,61.58
5,1,2023,19,,120,7.202216,914.4,1,1,1009.654835,26,19,,0,65.33
5,1,2023,20,,130,6.687772,914.4,1,1,1009.654835,25,19,,0,69.33
5,1,2023,21,,120,6.173328,914.4,1,1,1009.654835,25,18,,0,65.12
5,1,2023,22,,130,4.115552,822.96,1,1,1009.654835,24,18,,0,69.14
5,1,2023,23,,150,3.086664,822.96,1,1,1009.651241,23,19,,0,78.19
